ASSESSID,commonname,stocklong,scientificname,Years,TB,SSB,TN,R,TC,TL,F,ER,REGION,EW
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1989,771000,84000,,7.08E+11,,0,,0,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1990,4901000,92000,,4.15E+11,,0,,0,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1991,6647000,643000,,3.96E+11,,929000,,0.139762299,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1992,5371000,302000,,3000000000,,1123000,,0.209085831,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1993,991000,293000,,30000000000,,586000,,0.591321897,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1994,259000,139000,,8000000000,,0,,0,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1995,189000,60000,,89000000000,,0,,0,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1996,467000,60000,,1.12E+11,,0,,0,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1997,866000,85000,,1.88E+11,,1000,,0.001154734,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1998,1860000,94000,,1.71E+11,,1000,,0.000537634,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,1999,2580000,382000,,4.75E+11,,106000,,0.041085271,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,2000,3840000,599000,,1.28E+11,,414000,,0.1078125,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,2001,3480000,626000,,62000000000,,568000,,0.163218391,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,2002,2145000,496000,,1.12E+11,,651000,,0.303496503,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,2003,700000,427000,,63000000000,,282000,,0.402857143,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,2004,724000,94000,,33000000000,,0,,0,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,2005,374000,122000,,73000000000,,1000,,0.002673797,N Atlantic,E
